country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Haiti,2770,2400,2280,2070,2130,2160,2180,2190,2210,2210,2170,2130,2110,2020,2020,2040,2070,2030,2020,1860,1880,1880,1910,1910,1890,1870,1870,1870,1880,1910,1940,1980
Honduras,4540,4550,4670,4450,4470,4520,4520,4510,4260,4450,4530,4630,4840,5110,5290,5210,5260,5240,4890,4940,5120,5260,5090,5010,4840,4860,5010,5120,5230,5350,5480,5610
Hungary,22400,21700,22900,23900,24500,25000,26000,26700,26500,27400,28300,29500,30100,31800,33200,34400,34700,35400,34000,34400,34800,33700,33900,33400,33400,33000,34200,35600,36600,37500,38500,39600
Iceland,56700,54500,55800,57200,54900,56800,59600,61100,61200,62200,63900,65100,66800,71700,74800,76400,81100,81800,79500,75500,76300,75800,77300,76800,77900,81200,83700,86600,89600,92500,94800,97000
India,1460,1500,1540,1600,1690,1780,1820,1900,2020,2070,2110,2130,2230,2350,2490,2710,2970,3080,3320,3650,3870,4050,4230,4470,4730,4980,5250,5590,5930,6290,6650,7030
Indonesia,4470,4590,4770,5010,5300,5580,5740,4840,4760,4880,4950,5120,5270,5490,5780,5980,6280,6490,6590,6840,7120,7400,7710,7980,8440,8630,8990,9390,9810,10300,10700,11200
Iran,18100,18400,17800,17200,17200,17700,17400,17100,16800,17000,16800,17000,17200,16800,17000,17700,19200,20000,20200,22000,22400,20800,19900,20800,19800,21800,22300,23100,23900,24800,25800,26900
Iraq,6900,8770,11000,11100,10900,11500,13500,17600,20100,19900,19800,17900,11600,17400,17100,17700,16900,17300,17400,18000,18700,20700,21300,20600,20800,22500,21700,21600,21600,21600,22000,22400
Ireland,71600,73900,74500,75700,79000,83100,88100,88400,91900,96100,98900,102000,103000,107000,108000,110000,111000,107000,109000,115000,116000,115000,114000,122000,151000,155000,165000,171000,176000,179000,182000,185000
Israel,62400,63300,61600,60500,61100,63300,65400,67600,68400,72200,71600,71900,71600,72800,72500,73800,74500,73400,73900,75000,76600,76200,77600,78200,78500,80000,80900,82200,84000,86000,88000,90100
Italy,81400,84100,84700,88000,91700,92800,94600,95700,96100,98400,98000,96400,94800,93200,94500,95100,96000,94700,91600,94100,94800,92800,93600,93900,94100,93800,95000,96000,97200,98400,99600,101000
Jamaica,11700,11600,12600,12400,12800,12700,12500,12100,12200,12100,12100,12200,12100,12100,12000,12000,11900,11800,11200,11000,11100,11000,11100,10800,10700,10700,10700,10800,11000,11200,11400,11500
Japan,75400,75000,75000,75700,77600,79600,79800,79500,80100,82500,83300,84300,85700,87500,88500,89400,90200,89400,85800,89700,89900,91500,92400,92000,92700,92800,94700,96300,97600,98400,99900,101000
Jordan,12900,14200,13600,13100,12400,12100,12200,12300,12500,12800,13400,14000,14300,15100,15800,16300,16100,16500,16200,15900,15800,15500,15600,15200,15100,15300,15800,15800,15800,15900,16300,16700
Kazakhstan,10700,10100,9200,8600,8230,8530,8780,8700,9040,9890,10900,11700,12600,13600,14600,15900,16900,17100,17100,17900,19000,19600,20600,21200,21300,21300,21900,22500,23200,24000,25100,26400
Kenya,2690,2570,2480,2460,2480,2500,2430,2440,2420,2390,2450,2430,2470,2560,2690,2780,2880,2790,2800,2940,3020,3050,3120,3180,3260,3340,3400,3510,3640,3770,3900,4030
Kuwait,27300,52600,74200,83600,89800,87700,85200,82300,75500,74900,73200,73700,84300,90900,96200,97600,97500,93600,80500,72900,75900,75300,71200,67200,65100,67000,65100,65900,67600,68800,70600,72200
Kyrgyz Republic,2720,2300,1910,1510,1400,1510,1630,1620,1640,1680,1750,1810,1860,1930,1850,1850,1990,2150,2200,2150,2230,2220,2480,2550,2610,2710,2760,2830,2920,3030,3150,3270
Lao,1070,1100,1130,1200,1250,1310,1370,1390,1460,1510,1560,1620,1670,1740,1810,1910,2000,2090,2190,2310,2440,2580,2730,2880,3020,3170,3330,3490,3660,3840,4020,4210
Latvia,20900,13800,12100,12900,13300,13900,14100,15300,16000,17400,18400,19300,20900,22500,24600,26000,28000,27200,27000,27500,28600,29200,29600,30300,30800,31500,33100,35300,37200,38900,40700,42600
Lebanon,21600,21800,22600,23700,24500,25400,24200,24700,23900,23200,23000,22500,21800,21900,21600,21300,22900,24300,25900,26800,25800,24500,22900,21900,21200,20700,21000,21400,22000,22600,23800,25000
Lesotho,2790,2920,2940,3040,3070,3200,3260,3110,2710,2840,2970,3000,3170,3240,3380,3540,3730,4000,3910,4020,4120,4180,4100,4120,4260,4300,4370,4470,4580,4700,4840,4990
Liberia,1210,791,531,410,382,406,793,957,1090,1330,1310,1330,900,909,931,972,1020,1040,1040,1050,1100,1160,1230,1200,1170,1120,1130,1150,1190,1230,1280,1320
Libya,41700,39200,36900,36600,35200,35000,36200,34200,33700,33800,32200,30800,33300,33800,36300,37600,38900,39000,38000,39100,15300,33100,15900,12200,10900,10500,15500,17300,19200,20600,22000,23300
Lithuania,21500,16900,14300,13000,13400,14000,14800,16000,15700,17100,18900,19500,20800,22800,24400,26100,28600,29900,27800,29800,30600,31300,32100,32800,33000,33000,34500,36200,37900,39600,41400,43200
Luxembourg,168000,167000,175000,182000,188000,187000,193000,202000,212000,221000,226000,230000,237000,242000,242000,248000,262000,255000,229000,233000,235000,224000,228000,232000,237000,248000,251000,258000,264000,270000,277000,283000
Madagascar,1010,989,979,947,933,924,929,935,947,961,983,828,876,883,884,896,919,951,881,853,827,813,811,818,827,835,849,867,888,903,917,933
Malawi,913,837,919,819,951,1000,1020,1030,1030,1010,938,931,959,983,985,998,1060,1100,1150,1180,1190,1170,1180,1210,1200,1190,1200,1220,1240,1270,1300,1330
Malaysia,12800,13500,14300,15200,16300,17300,18000,16200,16700,17600,17300,17700,18300,19000,19500,20100,21500,21900,20800,21600,21700,21900,21800,22400,23000,23600,24500,25400,26100,26800,27400,28100
Maldives,8220,8480,8670,9030,9420,9940,10600,11300,11700,11900,12800,12400,12900,13500,11500,12700,13500,14500,13300,13600,14200,14100,14200,14500,14700,15100,15400,15700,16000,16400,16900,17200
Mali,2020,1910,1920,1930,1900,1980,2020,2130,2210,2160,2440,2460,2620,2590,2580,2530,2490,2410,2330,2260,2180,2060,2010,2030,2120,2220,2290,2370,2440,2520,2590,2670
Malta,34000,35500,36700,38700,40100,41500,43000,44700,45900,48000,47700,48900,50300,51400,52500,52500,53100,53900,52400,53100,52200,52400,53200,55900,58900,60700,64100,67300,70000,72000,73400,74800
Mauritania,3920,3890,4020,3770,4040,4130,3820,3800,3970,3800,3770,3680,3800,3900,4130,4780,4770,4680,4490,4580,4660,4780,4910,5010,4910,4860,4920,5040,5180,5340,5500,5690
Mauritius,9970,10400,10700,11000,11200,11700,12100,12500,12600,13500,13600,13900,14600,15600,15700,16900,17700,18200,18600,19100,19900,20400,20700,21000,21400,22200,23000,24000,24900,25800,26800,27700
Mexico,21200,21100,21100,21700,20600,20900,21000,21500,21700,22400,22100,21700,21800,22000,22100,22400,22600,22500,21300,22000,22300,22400,22300,22600,22600,22600,22700,22900,23200,23400,23700,24000
